Date,NAM
2000-08-31,137.84098238859366
2000-09-30,140.7026825486828
2000-10-31,139.83599618577657
2000-11-30,141.62338872225519
2000-12-31,153.45209371406148
2001-01-31,159.6734911053142
2001-02-28,155.06303169515903
2001-03-31,153.57096244682361
2001-04-30,155.32074386872188
2001-05-31,153.5494667049709
2001-06-30,155.28495930861558
2001-07-31,163.51045467159457
2001-08-31,181.62590803672634
2001-09-30,213.80479803527783
2001-10-31,217.183646068918
2001-11-30,192.70242167045484
2001-12-31,166.62981297499527
2002-01-31,148.61452145187
2002-02-28,125.96331907749581
2002-03-31,112.56051346225276
2002-04-30,95.75919700762952
2002-05-31,82.26162930736534
2002-06-30,78.95208259620256
2002-07-31,78.00456871866717
2002-08-31,74.73526657224976
2002-09-30,75.14708930960717
2002-10-31,77.45888307083393
2002-11-30,84.88694521293209
2002-12-31,95.0720670723976
2003-01-31,107.02174836745687
2003-02-28,115.95560318991984
2003-03-31,120.83377524411483
2003-04-30,131.37049738002452
2003-05-31,117.8654225379904
2003-06-30,106.83337231075411
2003-07-31,104.29806362310462
2003-08-31,98.77822642927468
2003-09-30,97.19172304100255
2003-10-31,90.3459898679113
2003-11-30,77.48184920671461
2003-12-31,66.63089942307965
2004-01-31,64.24862500524213
2004-02-29,62.574053687133116
2004-03-31,64.54571252153227
2004-04-30,67.45804667950203
2004-05-31,73.82017143365498
2004-06-30,79.89013472127259
2004-07-31,74.04273692796282
2004-08-31,67.46344117806707
2004-09-30,71.17097290313357
2004-10-31,82.14856351271227
2004-11-30,91.67854626113338
2004-12-31,103.24326915373283
2005-01-31,108.29918415284243
2005-02-28,100.87464684417722
2005-03-31,98.53655452755306
2005-04-30,97.76284222515257
2005-05-31,103.87810218084216
2005-06-30,113.51730213923862
2005-07-31,129.80015717836642
2005-08-31,147.83551379797365
2005-09-30,179.05353534045165
2005-10-31,185.226850038186
2005-11-30,175.10816450831817
2005-12-31,156.3015079215718
2006-01-31,149.3802306287779
2006-02-28,140.55145153101435
2006-03-31,126.14785276278644
2006-04-30,124.59989456722742
2006-05-31,123.54960452114784
2006-06-30,122.15688770078077
2006-07-31,119.4622397803968
2006-08-31,123.45521008516471
2006-09-30,136.29474128610735
2006-10-31,126.19873807511364
2006-11-30,117.609762362471
2006-12-31,116.45188840932448
2007-01-31,116.23271650166642
2007-02-28,113.04858365546421
2007-03-31,106.96195064706957
2007-04-30,100.6332584428645
2007-05-31,93.29323547859147
2007-06-30,97.3868038023156
2007-07-31,109.12207945239551
2007-08-31,127.96371684351395
2007-09-30,138.50627787438248
2007-10-31,147.96492942704563
2007-11-30,166.55579741650152
2007-12-31,176.9069242164641
2008-01-31,182.77369306935356
2008-02-29,192.5157622260094
2008-03-31,199.75049613028924
2008-04-30,218.90720484994782
2008-05-31,244.4448692814595
2008-06-30,274.43401767777743
2008-07-31,312.927260101179
2008-08-31,370.06990836163186
2008-09-30,431.1667884983324
2008-10-31,494.3755279379972
2008-11-30,497.2636780378128
2008-12-31,483.1645610898853
2009-01-31,466.3065445536323
2009-02-28,430.7634263921712
2009-03-31,389.73424938288656
2009-04-30,358.5713362355277
2009-05-31,334.5706444409688
2009-06-30,314.38756784450777
2009-07-31,287.2843321735825
2009-08-31,253.06714462489327
2009-09-30,226.38290536148767
2009-10-31,207.40603473241524
2009-11-30,192.01322054566592
2009-12-31,185.33909671481288
2010-01-31,182.99543754432864
2010-02-28,175.90472755769727
2010-03-31,164.00690494505298
2010-04-30,150.80370491606624
2010-05-31,143.75634602643927
2010-06-30,122.16292048083044
2010-07-31,108.23295522396408
2010-08-31,96.63028762980481
2010-09-30,90.62958797923048
2010-10-31,89.3943861943091
2010-11-30,85.0592819813716
2010-12-31,92.14254289486496
2011-01-31,92.69218425000919
2011-02-28,97.69616128584696
2011-03-31,97.43901019772812
2011-04-30,96.21308573452072
2011-05-31,96.19013303240071
2011-06-30,96.53839791746158
2011-07-31,102.25156586772908
2011-08-31,106.6856043832908
2011-09-30,99.35886946972727
2011-10-31,92.2082272672975
2011-11-30,82.38603599673718
2011-12-31,74.7393489841146
2012-01-31,68.94140793169407
2012-02-29,59.7349218490437
2012-03-31,57.87030849147104
2012-04-30,53.79045221636303
2012-05-31,56.49626954101981
2012-06-30,56.56264029502373
2012-07-31,61.17995374799412
2012-08-31,67.69913730324724
2012-09-30,65.28695906925752
2012-10-31,63.53587602616278
2012-11-30,67.63649188600003
2012-12-31,70.34013919026741
2013-01-31,69.6479218398132
2013-02-28,65.87010590047652
